annotation_level,parent_cell_type,candidate_cell_type,plot_panel,marker_gene,marker_rank,marker_role,expected_in_nsg,reference,pmid,doi,marker_rationale,caveat
lineage,Myeloid,Non-classical monocyte,myeloid_lineage,Nr4a1,1,positive,present,"Yona et al. Immunity 2013",23273845,10.1016/j.immuni.2012.12.001,"Lineage regulator of mouse Ly6C-low monocytes","Transient expression and dropout are possible"
lineage,Myeloid,Non-classical monocyte,myeloid_lineage,Cx3cr1,2,positive,present,"Yona et al. Immunity 2013",23273845,10.1016/j.immuni.2012.12.001,"Patrolling monocyte-associated chemokine receptor","Also expressed by macrophages and DCs"
lineage,Myeloid,Non-classical monocyte,myeloid_lineage,Lst1,3,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Core mononuclear phagocyte transcript","Broad myeloid marker"
lineage,Myeloid,Non-classical monocyte,myeloid_lineage,Itgal,4,positive,present,"Yona et al. Immunity 2013",23273845,10.1016/j.immuni.2012.12.001,"Leukocyte-adhesion gene in patrolling monocytes","Broad leukocyte expression"
lineage,Myeloid,Non-classical monocyte,myeloid_lineage,Lilrb4a,5,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Monocyte/macrophage inhibitory receptor","Not specific for non-classical monocytes"
lineage,Myeloid,Macrophage,myeloid_lineage,Adgre1,1,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Canonical mouse tissue-macrophage marker","Can be low in recently recruited monocyte-derived macrophages"
lineage,Myeloid,Macrophage,myeloid_lineage,Csf1r,2,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Mononuclear-phagocyte lineage receptor","Also expressed by monocytes"
lineage,Myeloid,Macrophage,myeloid_lineage,Mertk,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Differentiated macrophage/efferocytosis marker","Can be induced in dendritic-like myeloid cells"
lineage,Myeloid,Macrophage,myeloid_lineage,Mafb,4,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Macrophage differentiation transcription factor","Also expressed in monocytes"
lineage,Myeloid,Macrophage,myeloid_lineage,Ms4a7,5,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Tumor macrophage-enriched transcript","Also expressed in monocytes"
lineage,Myeloid,cDC1,myeloid_lineage,Xcr1,1,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"Canonical mouse cDC1 marker","Rare expression outside cDC1 can occur"
lineage,Myeloid,cDC1,myeloid_lineage,Clec9a,2,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"Canonical mouse cDC1 marker","Also marks committed DC precursors"
lineage,Myeloid,cDC1,myeloid_lineage,Batf3,3,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"cDC1 lineage transcription factor","Low expression can cause dropout"
lineage,Myeloid,cDC1,myeloid_lineage,Irf8,4,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"cDC1 lineage transcription factor","Also expressed by pDC and other myeloid cells"
lineage,Myeloid,cDC1,myeloid_lineage,Flt3,5,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"Conventional DC lineage receptor","Also expressed by DC progenitors and cDC2"
lineage,Myeloid,cDC2,myeloid_lineage,Clec10a,1,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"Mouse cDC2-associated lectin","Not universal across cDC2 states"
lineage,Myeloid,cDC2,myeloid_lineage,Sirpa,2,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"Canonical cDC2 surface marker","Also expressed by macrophages"
lineage,Myeloid,cDC2,myeloid_lineage,Cd209a,3,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"Mouse cDC2-associated lectin","Can be expressed by monocyte-derived cells"
lineage,Myeloid,cDC2,myeloid_lineage,Irf4,4,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"cDC2 differentiation transcription factor","Also expressed in lymphoid cells"
lineage,Myeloid,cDC2,myeloid_lineage,Flt3,5,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"Conventional DC lineage receptor","Also expressed by DC progenitors and cDC1"
lineage,Myeloid,pDC,myeloid_lineage,Siglech,1,positive,present,"Dress et al. Nature Immunology 2019",31213723,10.1038/s41590-019-0420-3,"Canonical mouse plasmacytoid DC marker","Can be low after activation"
lineage,Myeloid,pDC,myeloid_lineage,Bst2,2,positive,present,"Dress et al. Nature Immunology 2019",31213723,10.1038/s41590-019-0420-3,"Plasmacytoid DC-associated surface gene","Interferon can induce Bst2 broadly"
lineage,Myeloid,pDC,myeloid_lineage,Tcf4,3,positive,present,"Dress et al. Nature Immunology 2019",31213723,10.1038/s41590-019-0420-3,"pDC lineage transcription factor","Low RNA abundance can cause dropout"
lineage,Myeloid,pDC,myeloid_lineage,Gzmb,4,positive,present,"Dress et al. Nature Immunology 2019",31213723,10.1038/s41590-019-0420-3,"Resting mouse pDC-associated effector transcript","Also an NK/T effector marker"
lineage,Myeloid,pDC,myeloid_lineage,Il3ra,5,positive,present,"Dress et al. Nature Immunology 2019",31213723,10.1038/s41590-019-0420-3,"pDC-associated cytokine receptor","Also expressed by basophils and progenitors"
state,Neutrophil,Immature-like neutrophil,neutrophil_state,Ngp,1,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Mouse neutrophil precursor/immature granule gene","Maturation is continuous; not a discrete lineage"
state,Neutrophil,Immature-like neutrophil,neutrophil_state,Ltf,2,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Secondary-granule gene enriched during neutrophil maturation","Can remain high in mature activated neutrophils"
state,Neutrophil,Immature-like neutrophil,neutrophil_state,Camp,3,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Neutrophil granule gene associated with maturing cells","Can remain high in mature neutrophils"
state,Neutrophil,Immature-like neutrophil,neutrophil_state,Lcn2,4,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Neutrophil maturation/granule transcript","Can be induced in epithelia"
state,Neutrophil,Immature-like neutrophil,neutrophil_state,Pglyrp1,5,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Granulocytic precursor and neutrophil granule marker","Not sufficient alone"
state,Neutrophil,Granule-high neutrophil,neutrophil_state,Mmp8,1,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Mature neutrophil granule enzyme","Can be high across several neutrophil states"
state,Neutrophil,Granule-high neutrophil,neutrophil_state,Mmp9,2,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Neutrophil tertiary-granule enzyme","Can be induced in macrophages and stroma"
state,Neutrophil,Granule-high neutrophil,neutrophil_state,Retnlg,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Tumor-neutrophil granule-associated transcript","Also a core neutrophil lineage marker"
state,Neutrophil,Granule-high neutrophil,neutrophil_state,Wfdc17,4,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Mouse tumor-neutrophil granule-associated transcript","Less characterized outside mouse granulocytes"
state,Neutrophil,Granule-high neutrophil,neutrophil_state,Wfdc21,5,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Mouse tumor-neutrophil granule-associated transcript","Less characterized outside mouse granulocytes"
state,Neutrophil,IFN-responsive neutrophil,neutrophil_state,Ifit1,1,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"G5b interferon-responsive neutrophil marker","Interferon program is not lineage-specific"
state,Neutrophil,IFN-responsive neutrophil,neutrophil_state,Isg15,2,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"G5b interferon-responsive neutrophil marker","Interferon program is not lineage-specific"
state,Neutrophil,IFN-responsive neutrophil,neutrophil_state,Rsad2,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Interferon-responsive tumor-neutrophil transcript","Interferon program is not lineage-specific"
state,Neutrophil,IFN-responsive neutrophil,neutrophil_state,Ifit3,4,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"G5b interferon-responsive neutrophil transcript","Interferon program is not lineage-specific"
state,Neutrophil,IFN-responsive neutrophil,neutrophil_state,Slfn4,5,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Mouse IFN-associated tumor-neutrophil marker","Also expressed by suppressive myeloid states"
state,Neutrophil,Inflammatory neutrophil,neutrophil_state,Il1b,1,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Inflammatory tumor-myeloid cytokine","Not neutrophil-specific"
state,Neutrophil,Inflammatory neutrophil,neutrophil_state,Cxcl1,2,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Inflammatory chemokine in tumor-associated granulocytes","Can be produced by stromal and epithelial cells"
state,Neutrophil,Inflammatory neutrophil,neutrophil_state,Cxcl2,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Inflammatory neutrophil chemokine","Can be expressed by macrophages"
state,Neutrophil,Inflammatory neutrophil,neutrophil_state,Cxcl3,4,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Inflammatory neutrophil chemokine","Can be expressed by other inflamed cells"
state,Neutrophil,Inflammatory neutrophil,neutrophil_state,Nlrp3,5,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Inflammasome-associated inflammatory state marker","Broad inflammatory myeloid expression"
state,Neutrophil,Hypoxic neutrophil,neutrophil_state,Bnip3,1,positive,present,"Pombo Antunes et al. Nature Neuroscience 2021",33782623,10.1038/s41593-020-00789-y,"Conserved hypoxia-associated tumor-myeloid transcript","State marker only; never establishes neutrophil lineage"
state,Neutrophil,Hypoxic neutrophil,neutrophil_state,P4ha1,2,positive,present,"Pombo Antunes et al. Nature Neuroscience 2021",33782623,10.1038/s41593-020-00789-y,"Hypoxia-associated collagen-modifying enzyme","Can be expressed by stromal cells"
state,Neutrophil,Hypoxic neutrophil,neutrophil_state,Hk2,3,positive,present,"Pombo Antunes et al. Nature Neuroscience 2021",33782623,10.1038/s41593-020-00789-y,"Hypoxia/glycolysis-associated transcript","Metabolic state marker; not lineage-specific"
state,Neutrophil,Hypoxic neutrophil,neutrophil_state,Ndrg1,4,positive,present,"Pombo Antunes et al. Nature Neuroscience 2021",33782623,10.1038/s41593-020-00789-y,"Hypoxia/stress-associated transcript","State marker; not lineage-specific"
state,Neutrophil,Hypoxic neutrophil,neutrophil_state,Hmox1,5,positive,present,"Pombo Antunes et al. Nature Neuroscience 2021",33782623,10.1038/s41593-020-00789-y,"Hypoxia/oxidative-stress-associated transcript","Can be high in macrophages"
state,Neutrophil,CXCR4-high aged-like neutrophil,neutrophil_state,Cxcr4,1,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"G5c aged-neutrophil marker","CXCR4 can also mark retention/activation"
state,Neutrophil,CXCR4-high aged-like neutrophil,neutrophil_state,Gm2a,2,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"G5c aged-neutrophil-associated transcript","Not lineage-specific"
state,Neutrophil,CXCR4-high aged-like neutrophil,neutrophil_state,Itgam,3,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Increased adhesion marker in aged neutrophils","Broad myeloid expression"
state,Neutrophil,CXCR4-high aged-like neutrophil,neutrophil_state,Icam1,4,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Increased adhesion marker in aged neutrophils","Broad activation marker"
state,Neutrophil,CXCR4-high aged-like neutrophil,neutrophil_state,Cd44,5,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Increased adhesion marker in aged neutrophils","Broad leukocyte activation marker"
state,Neutrophil,Spp1-high inflammatory neutrophil,neutrophil_state,Spp1,1,positive,present,"Zhao et al. npj Breast Cancer 2025",40675988,10.1038/s41523-025-00792-1,"SPP1-high tumor-associated neutrophil/myeloid remodeling program","State marker only; macrophage lineage must be excluded independently"
state,Neutrophil,Spp1-high inflammatory neutrophil,neutrophil_state,Vegfa,2,positive,present,"Zhao et al. npj Breast Cancer 2025",40675988,10.1038/s41523-025-00792-1,"VEGFA co-expression in Spp1-positive tumor neutrophil/myeloid states","Hypoxia and angiogenesis marker; not lineage-specific"
state,Neutrophil,Spp1-high inflammatory neutrophil,neutrophil_state,Cxcl3,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Inflammatory chemokine in tumor-associated neutrophils","Can be expressed by other inflamed myeloid and stromal cells"
state,Neutrophil,Spp1-high inflammatory neutrophil,neutrophil_state,Ccl3,4,positive,present,"Fetit et al. Cancer Research Communications 2024",38358352,10.1158/2767-9764.CRC-23-0319,"Tumor-enriched mouse neutrophil signature gene","Broad inflammatory leukocyte chemokine"
state,Neutrophil,Spp1-high inflammatory neutrophil,neutrophil_state,Thbs1,5,positive,present,"Fetit et al. Cancer Research Communications 2024",38358352,10.1158/2767-9764.CRC-23-0319,"Tumor-enriched mouse neutrophil remodeling-associated transcript","Broadly expressed in activated myeloid and stromal cells"
state,Neutrophil,Saa/Chil-high inflammatory-like neutrophil,neutrophil_state,Saa3,1,positive,present,"Wang et al. Journal of Neuroinflammation 2026",41851894,10.1186/s12974-026-03772-9,"Saa3-high inflammatory mouse neutrophil state marker","Inflammatory-state marker; also inducible in macrophages and stroma"
state,Neutrophil,Saa/Chil-high inflammatory-like neutrophil,neutrophil_state,Chil3,2,positive,present,"Fetit et al. Cancer Research Communications 2024",38358352,10.1158/2767-9764.CRC-23-0319,"Mouse tumor-neutrophil state-associated transcript","Shared with monocyte-like and other activated myeloid populations"
state,Neutrophil,Saa/Chil-high inflammatory-like neutrophil,neutrophil_state,Cd14,3,positive,present,"Fetit et al. Cancer Research Communications 2024",38358352,10.1158/2767-9764.CRC-23-0319,"Tumor-enriched mouse neutrophil signature gene","Broad myeloid inflammatory receptor"
state,Neutrophil,Saa/Chil-high inflammatory-like neutrophil,neutrophil_state,Il1b,4,positive,present,"Wang et al. Journal of Neuroinflammation 2026",41851894,10.1186/s12974-026-03772-9,"Inflammatory cytokine co-expressed in Saa3-high neutrophil clusters","Broad inflammatory myeloid marker"
state,Macrophage,C1q-TREM2 macrophage,macrophage_state,C1qa,1,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Complement-high tumor-associated macrophage marker","Also expressed by resident macrophages"
state,Macrophage,C1q-TREM2 macrophage,macrophage_state,C1qb,2,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Complement-high tumor-associated macrophage marker","Also expressed by resident macrophages"
state,Macrophage,C1q-TREM2 macrophage,macrophage_state,C1qc,3,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Complement-high tumor-associated macrophage marker","Also expressed by resident macrophages"
state,Macrophage,C1q-TREM2 macrophage,macrophage_state,Trem2,4,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"TREM2-high tumor-associated macrophage marker","Can mark lipid-associated macrophages in non-tumor tissues"
state,Macrophage,C1q-TREM2 macrophage,macrophage_state,Apoe,5,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Lipid/complement-associated macrophage transcript","Also expressed by stromal and neural cells"
state,Macrophage,Spp1-remodeling macrophage,macrophage_state,Spp1,1,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Tumor macrophage matrix-remodeling marker","Also expressed by tumor and stromal cells"
state,Macrophage,Spp1-remodeling macrophage,macrophage_state,Fn1,2,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Matrix-remodeling macrophage transcript","Also strongly expressed by fibroblasts"
state,Macrophage,Spp1-remodeling macrophage,macrophage_state,Thbs1,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Angiogenic/remodeling myeloid transcript","Broad expression in activated stroma"
state,Macrophage,Spp1-remodeling macrophage,macrophage_state,Arg1,4,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Mouse tumor-myeloid suppressive/remodeling marker","Can be high in neutrophils and MDSC-like cells"
state,Macrophage,Spp1-remodeling macrophage,macrophage_state,Vegfa,5,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Angiogenic hypoxic macrophage transcript","State marker; not lineage-specific"
state,Macrophage,MHCII-high macrophage,macrophage_state,Cd74,1,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Antigen-presentation marker","Also expressed by B cells and dendritic cells"
state,Macrophage,MHCII-high macrophage,macrophage_state,H2-Aa,2,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Mouse MHC-II antigen-presentation gene","Also expressed by dendritic cells"
state,Macrophage,MHCII-high macrophage,macrophage_state,H2-Ab1,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Mouse MHC-II antigen-presentation gene","Also expressed by dendritic cells"
state,Macrophage,MHCII-high macrophage,macrophage_state,H2-Eb1,4,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Mouse MHC-II antigen-presentation gene","Also expressed by dendritic cells"
state,Macrophage,MHCII-high macrophage,macrophage_state,Ciita,5,positive,present,"Brown et al. Cell 2019",31668803,10.1016/j.cell.2019.09.035,"MHC-II transcriptional regulator","Also active in dendritic cells"
state,Macrophage,Mrc1-Folr2 macrophage,macrophage_state,Mrc1,1,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Tissue-remodeling macrophage marker","Also expressed by lymphatic endothelium in some tissues"
state,Macrophage,Mrc1-Folr2 macrophage,macrophage_state,Folr2,2,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Resident-like macrophage marker","May be absent in monocyte-derived TAMs"
state,Macrophage,Mrc1-Folr2 macrophage,macrophage_state,Cd163,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Scavenging/remodeling macrophage marker","Not universal in mouse TAMs"
state,Macrophage,Mrc1-Folr2 macrophage,macrophage_state,Stab1,4,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Scavenger/remodeling macrophage marker","Also expressed by selected endothelial cells"
state,Macrophage,Mrc1-Folr2 macrophage,macrophage_state,Gas6,5,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Efferocytosis/tissue-remodeling macrophage transcript","Also expressed by stromal cells"
lineage,Granulocyte,Mast cell,granulocyte_lineage,Kit,1,positive,present,"Tauber et al. Journal of Experimental Medicine 2023",37462672,10.1084/jem.20230570,"Canonical mouse mast-cell receptor","Also expressed by progenitors and some epithelial cells"
lineage,Granulocyte,Mast cell,granulocyte_lineage,Cpa3,2,positive,present,"Tauber et al. Journal of Experimental Medicine 2023",37462672,10.1084/jem.20230570,"Pan-organ mouse mast-cell marker","Can be expressed by basophil-lineage cells"
lineage,Granulocyte,Mast cell,granulocyte_lineage,Fcer1a,3,positive,present,"Tauber et al. Journal of Experimental Medicine 2023",37462672,10.1084/jem.20230570,"High-affinity IgE receptor component","Also expressed by basophils and dendritic cells"
lineage,Granulocyte,Mast cell,granulocyte_lineage,Mcpt4,4,positive,present,"Tauber et al. Journal of Experimental Medicine 2023",37462672,10.1084/jem.20230570,"Connective-tissue mast-cell protease","Mucosal mast cells can be Mcpt4-low"
lineage,Granulocyte,Mast cell,granulocyte_lineage,Tpsb2,5,positive,present,"Tauber et al. Journal of Experimental Medicine 2023",37462672,10.1084/jem.20230570,"Mast-cell tryptase","Expression varies by mast-cell subtype"
lineage,Granulocyte,Eosinophil,granulocyte_lineage,Siglecf,1,positive,present,"Jeong et al. Journal of Leukocyte Biology 2022",33857341,10.1002/JLB.1AB0519-170RR,"Canonical mature mouse eosinophil marker","Also expressed by alveolar macrophages"
lineage,Granulocyte,Eosinophil,granulocyte_lineage,Epx,2,positive,present,"Jeong et al. Journal of Leukocyte Biology 2022",33857341,10.1002/JLB.1AB0519-170RR,"Eosinophil peroxidase lineage marker","Strongest in mature eosinophils"
lineage,Granulocyte,Eosinophil,granulocyte_lineage,Prg2,3,positive,present,"Jeong et al. Journal of Leukocyte Biology 2022",33857341,10.1002/JLB.1AB0519-170RR,"Eosinophil granule major basic protein","Can be low after degranulation"
lineage,Granulocyte,Eosinophil,granulocyte_lineage,Alox15,4,positive,present,"Jeong et al. Journal of Leukocyte Biology 2022",33857341,10.1002/JLB.1AB0519-170RR,"Mature eosinophil lipid-enzyme marker","Can be expressed by macrophages"
lineage,Granulocyte,Eosinophil,granulocyte_lineage,Ccr3,5,positive,present,"Jeong et al. Journal of Leukocyte Biology 2022",33857341,10.1002/JLB.1AB0519-170RR,"Canonical eosinophil chemokine receptor","Low RNA abundance can cause dropout"
lineage,Granulocyte,Basophil,granulocyte_lineage,Mcpt8,1,positive,present,"Doke et al. Nature Immunology 2022",35552540,10.1038/s41590-022-01200-7,"Canonical mouse basophil protease","Rare mast-lineage expression can occur"
lineage,Granulocyte,Basophil,granulocyte_lineage,Prss34,2,positive,present,"Doke et al. Nature Immunology 2022",35552540,10.1038/s41590-022-01200-7,"Mouse basophil-associated protease","Less validated across tumor tissues"
lineage,Granulocyte,Basophil,granulocyte_lineage,Fcer1a,3,positive,present,"Doke et al. Nature Immunology 2022",35552540,10.1038/s41590-022-01200-7,"IgE-receptor component in basophils","Also expressed by mast cells and dendritic cells"
lineage,Granulocyte,Basophil,granulocyte_lineage,Cd200r3,4,positive,present,"Doke et al. Nature Immunology 2022",35552540,10.1038/s41590-022-01200-7,"Mouse basophil-associated surface receptor","Can be present on selected mast cells"
lineage,Granulocyte,Basophil,granulocyte_lineage,Il3ra,5,positive,present,"Doke et al. Nature Immunology 2022",35552540,10.1038/s41590-022-01200-7,"Basophil cytokine-receptor component","Also expressed by pDC and progenitors"
qc,NSG-deficient,T cell (NSG QC),lymphoid_qc,Cd3d,1,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Canonical mouse T-cell receptor-complex transcript","Mature mouse T cells should be absent in NSG; signal requires contamination/doublet review"
qc,NSG-deficient,T cell (NSG QC),lymphoid_qc,Cd3e,2,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Canonical mouse T-cell receptor-complex transcript","Mature mouse T cells should be absent in NSG; signal requires contamination/doublet review"
qc,NSG-deficient,T cell (NSG QC),lymphoid_qc,Trac,3,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Canonical T-cell receptor transcript","Mature mouse T cells should be absent in NSG; ambient RNA must be considered"
qc,NSG-deficient,T cell (NSG QC),lymphoid_qc,Lck,4,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"T-lineage signaling kinase","Also expressed by NK cells"
qc,NSG-deficient,T cell (NSG QC),lymphoid_qc,Cd247,5,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"T/NK receptor-signaling component","Not T-cell-specific alone"
qc,NSG-deficient,B cell (NSG QC),lymphoid_qc,Cd79a,1,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Canonical mouse B-cell receptor component","Mature mouse B cells should be absent in NSG"
qc,NSG-deficient,B cell (NSG QC),lymphoid_qc,Ms4a1,2,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Canonical mature B-cell marker","Mature mouse B cells should be absent in NSG"
qc,NSG-deficient,B cell (NSG QC),lymphoid_qc,Cd19,3,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Canonical B-lineage marker","Mature mouse B cells should be absent in NSG"
qc,NSG-deficient,B cell (NSG QC),lymphoid_qc,Igkc,4,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Immunoglobulin constant transcript","Ambient immunoglobulin RNA is possible"
qc,NSG-deficient,B cell (NSG QC),lymphoid_qc,Pax5,5,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"B-lineage transcription factor","Low RNA abundance can cause dropout"
qc,NSG-deficient,NK cell (NSG QC),lymphoid_qc,Nkg7,1,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Cytotoxic lymphoid transcript","NSG mice have markedly reduced/absent functional NK cells"
qc,NSG-deficient,NK cell (NSG QC),lymphoid_qc,Klrd1,2,positive,unexpected,"Shultz et al. Journal of Immunology 1995",7995938,,"Canonical mouse NK receptor","NSG mice have markedly reduced/absent functional NK cells"
